comment,cleaned_comment,lang
"damn bruh, menjawab tapi tidak menjawab",damn bruh menjawab tapi tidak menjawab,id
"Kalo yang saya Baca si ya,sebagai orang yang cuma Lulusan SMK.Pak Prabowo ini Mau Keluar Dari Teori"" Ekonomi dan arahan yang biasa kita Gunakan selama Pasca Reformasi.Dia Jaman Kampanye kan selalu bilang Harus Berdikari....ya sekarang Ini dia Wujudkan Dan Jalankan.walaupun Kita Semua Merasakan Agak Atau Bahkan Sangat Pahit menjalani nya.tapi kita Akan Mendapatkan Hasil di kemudian Hari.
Saya Pun saat ini Tinggal di Desa.Dimana Biasa Ngobrol Dengan Keluarga Yang NotaBene Petani.Selama Pak Prabowo Menjabat sebagai Presiden.mereka Bisa Merasakan Dampak nya dengan Mudahnya cari Pupuk.Harga Jual gabah yang lumayan tinggi.sistem pertanian yang di Ayomi Corporate dan sebagainya.mungkin Dampak yang Pak Prabowo Jalankan Baru bisa Dirasakan Sebagian Kecil kelompok Masyarakat.Mudah""an Kita segera Bisa Merasakan Dampak Positif nya.","kalo yang saya baca si yasebagai orang yang cuma lulusan smkpak prabowo ini mau keluar dari teori ekonomi dan arahan yang biasa kita gunakan selama pasca reformasidia jaman kampanye kan selalu bilang harus berdikariya sekarang ini dia wujudkan dan jalankanwalaupun kita semua merasakan agak atau bahkan sangat pahit menjalani nyatapi kita akan mendapatkan hasil di kemudian hari
saya pun saat ini tinggal di desadimana biasa ngobrol dengan keluarga yang notabene petaniselama pak prabowo menjabat sebagai presidenmereka bisa merasakan dampak nya dengan mudahnya cari pupukharga jual gabah yang lumayan tinggisistem pertanian yang di ayomi corporate dan sebagainyamungkin dampak yang pak prabowo jalankan baru bisa dirasakan sebagian kecil kelompok masyarakatmudahan kita segera bisa merasakan dampak positif nya",id
 @SitiMaysarah-wi7vk alasan khawatir? Atau pengen presidennya bukan Prabowo?,sitimaysarahwivk alasan khawatir atau pengen presidennya bukan prabowo,id
"​ @mariopesak6071 kita udah kerja, tapi kita bisa lihat PHK terjadi dimana mana? gimana dong",mariopesak kita udah kerja tapi kita bisa lihat phk terjadi dimana mana gimana dong,id
​ @gonvzior Giliran banyak investor asing yg ngasain Indonesia protes gak ada investor asing protes jga maunya apa.?,gonvzior giliran banyak investor asing yg ngasain indonesia protes gak ada investor asing protes jga maunya apa,id
Kerja bro biar ga khawatir lagi kalau besok bisa makan😅,kerja bro biar ga khawatir lagi kalau besok bisa makan,id
terimakasih pak prabowo Penjelasan nya sangat bisa dimengerti. dan sangat Fuldamentalizem. semoga kedepan apa yanh jadi Canangan ini terlaksana diatas 50%  🤲,terimakasih pak prabowo penjelasan nya sangat bisa dimengerti dan sangat fuldamentalizem semoga kedepan apa yanh jadi canangan ini terlaksana diatas,id
"Hidup itu sesuai krja kras dn   pola pikir masing "" ,  yg krja kras dn  sllu optimis tak ada khawatir krna  sudah yakin bisa menghadapi masalh kcuali yg  hnya  sllu mngluh protes dn  tdak prnah brsyukur",hidup itu sesuai krja kras dn   pola pikir masing    yg krja kras dn  sllu optimis tak ada khawatir krna  sudah yakin bisa menghadapi masalh kcuali yg  hnya  sllu mngluh protes dn  tdak prnah brsyukur,id
"​ @SaniaRizqina-by6bt   kalau udh tahu masalahnya kompleks, seharusnya juga udh paham, kalau ruu perampasan aset nggk bakalan disahkan dpr mau berapa kalipun diajukan,, karena ruu perampasan aset tidak menyelesaikan akar masalah korupsinya, pemerintah lagi nyusun 3 ruu sekaligus, ada ruu parpol, ruu perampasan aset, dan satu lagi lupa, dengan 3 ruu ini diharapkan akar masalah yg menjadi alasan ditolak ruu perampasan aset itu bisa jadi solusi, ini udh dijelaskan sama salah satu menko di acara metro tv,",saniarizqinabybt   kalau udh tahu masalahnya kompleks seharusnya juga udh paham kalau ruu perampasan aset nggk bakalan disahkan dpr mau berapa kalipun diajukan karena ruu perampasan aset tidak menyelesaikan akar masalah korupsinya pemerintah lagi nyusun  ruu sekaligus ada ruu parpol ruu perampasan aset dan satu lagi lupa dengan  ruu ini diharapkan akar masalah yg menjadi alasan ditolak ruu perampasan aset itu bisa jadi solusi ini udh dijelaskan sama salah satu menko di acara metro tv,id
Indonesia au ah gelap,indonesia au ah gelap,id
